Techniques,Tarantula,OToThePowerP,BigO,OToThePowerD,Kulczynski1,Kulczynski2,Jaccard,Ochiai,Ample,Ample2,Wong1,Wong2,Wong3,Wong3Dash,GP13,CbiInc,CbiLog,CbiSqrt,SorensenDice,M1,M2,M3,Lee,RogersAndTanimoto,Goodman,SimpleMatching,Hamann,Euclid,Hamming,Rogot1,Rogot2,Binary,Gower1,Gower2,Gower3,AddedValue,Manhattan,Braun,Levandowsky,Simpson,Dice,MutantAt72
Line 1,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 2,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 3,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 4,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 5,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 6,0.504761904761905,17.0194846008799,30,1559.05263157895,0.011538461538462,0.505703422053232,0.011406844106464,0.106802828176336,0.032692307692308,0.018867924528302,18,-1542,13.65,4.35,18.0057361376673,0.000212814255718,0.000425537950893,0.000425537950893,0.022556390977444,0.030769230769231,0.005681818181818,0.059701492537314,48,0.015151515151515,-0.954887218045113,0.029850746268657,-0.940298507462687,6.92820323027551,48,0.014962681312491,0.507568692158691,1,-0.940298507462687,0.057971014492754,1,0.011406844106464,0.029850746268657,0.011406844106464,0.011406844106464,1,0.022813688212928,0
Line 7,0,-0.354494028912634,-1,564,0,0,0,0,-999999,-0.354716981132075,0,-564,-564,564,0,-0.011194029850746,,-999999,0,1.76288659793814,0,1.27611940298507,1026,0.468493150684932,-1,0.638059701492537,0.276119402985075,32.0312347560939,1026,0.194760820045558,0.407010409889395,0,0.276119402985075,0.779043280182232,-1,0,0.638059701492537,0,0,0,0,0
Line 8,0,-0.354494028912634,-1,564,0,0,0,0,-999999,-0.354716981132075,0,-564,-564,564,0,-0.011194029850746,,-999999,0,1.76288659793814,0,1.27611940298507,1026,0.468493150684932,-1,0.638059701492537,0.276119402985075,32.0312347560939,1026,0.194760820045558,0.407010409889395,0,0.276119402985075,0.779043280182232,-1,0,0.638059701492537,0,0,0,0,0
Line 9,0.64686737184703,17.4544311753614,722,867.052631578947,0.02073732718894,0.510158013544018,0.020316027088036,0.142534301443674,0.000232967818528,0.454088050314465,18,-850,14.342,3.658,18.0102622576967,0.00912199723729,0.018079077182469,0.018079077182469,0.039823008849558,0.852534562211982,0.007269789983845,0.920398009950249,740,0.298869143780291,-0.920353982300885,0.460199004975124,-0.079601990049751,27.2029410174709,740,0.166299882056129,0.618601019350625,1,-0.079601990049751,0.630323679727428,1,0.020316027088036,0.460199004975124,0.020316027088036,0.020316027088036,1,0.040632054176072,0
Line 10,0.64686737184703,17.4544311753614,722,867.052631578947,0.02073732718894,0.510158013544018,0.020316027088036,0.142534301443674,0.000232967818528,0.454088050314465,18,-850,14.342,3.658,18.0102622576967,0.00912199723729,0.018079077182469,0.018079077182469,0.039823008849558,0.852534562211982,0.007269789983845,0.920398009950249,740,0.298869143780291,-0.920353982300885,0.460199004975124,-0.079601990049751,27.2029410174709,740,0.166299882056129,0.618601019350625,1,-0.079601990049751,0.630323679727428,1,0.020316027088036,0.460199004975124,0.020316027088036,0.020316027088036,1,0.040632054176072,0
