Techniques,Tarantula,OToThePowerP,BigO,OToThePowerD,Kulczynski1,Kulczynski2,Jaccard,Ochiai,Ample,Ample2,Wong1,Wong2,Wong3,Wong3Dash,GP13,CbiInc,CbiLog,CbiSqrt,SorensenDice,M1,M2,M3,Lee,RogersAndTanimoto,Goodman,SimpleMatching,Hamann,Euclid,Hamming,Rogot1,Rogot2,Binary,Gower1,Gower2,Gower3,AddedValue,Manhattan,Braun,Levandowsky,Simpson,Dice,MutantAt63
Line 1,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 2,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 3,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 4,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 5,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 6,0.504924491135916,69.0201429499675,30,1507.01408450704,0.046419098143236,0.522179974651457,0.044359949302915,0.210618017517294,0.032670203359859,0.019505851755527,70,-1438,65.702,4.298,70.0226830848995,0.000827610994457,0.001653853241789,0.001653853241789,0.08495145631068,0.06631299734748,0.022464698331194,0.124378109452736,100,0.03209242618742,-0.830097087378641,0.062189054726368,-0.875621890547264,10,100,0.03174630118207,0.51596645026461,1,-0.875621890547264,0.117096018735363,1,0.044359949302915,0.062189054726368,0.044359949302915,0.044359949302915,1,0.08871989860583,0
Line 7,0.552442528735632,29.6530214424951,-1,533.577464788732,0.052264808362369,0.240881458966565,0.049668874172186,0.150984610419694,0.000876643239775,0.081367267323054,30,-504,26.676,3.324,30.0273224043716,0.009659151053244,0.019087997498599,0.019037412754325,0.094637223974763,1.801393728223,0.013748854262145,1.28606965174129,1034,0.473877176901925,-0.810725552050473,0.643034825870647,0.286069651741293,32.1558703816271,1034,0.221018672643671,0.524061145109886,0,0.286069651741293,0.782740348221045,0.17016317016317,0.053191489361702,0.643034825870647,0.053191489361702,0.049668874172186,0.428571428571429,0.099337748344371,0
Line 8,0.552442528735632,29.6530214424951,-1,533.577464788732,0.052264808362369,0.240881458966565,0.049668874172186,0.150984610419694,0.000876643239775,0.081367267323054,30,-504,26.676,3.324,30.0273224043716,0.009659151053244,0.019087997498599,0.019037412754325,0.094637223974763,1.801393728223,0.013748854262145,1.28606965174129,1034,0.473877176901925,-0.810725552050473,0.643034825870647,0.286069651741293,32.1558703816271,1034,0.221018672643671,0.524061145109886,0,0.286069651741293,0.782740348221045,0.17016317016317,0.053191489361702,0.643034825870647,0.053191489361702,0.049668874172186,0.428571428571429,0.099337748344371,0
Line 9,0.653355989804588,69.4697855750487,722,815.014084507042,0.08578431372549,0.539503386004515,0.079006772009029,0.281081433056382,0.000159551355168,0.469440832249675,70,-746,66.394,3.60599999999999,70.0411280846063,0.035474433700572,0.068518222268016,0.068518222268016,0.146443514644351,0.970588235294118,0.028877887788779,0.985074626865672,792,0.326732673267327,-0.707112970711297,0.492537313432836,-0.014925373134328,28.1424945589406,792,0.199237899278851,0.637111901064676,1,-0.014925373134328,0.66,1,0.079006772009029,0.492537313432836,0.079006772009029,0.079006772009029,1,0.158013544018059,0
Line 10,0.653355989804588,69.4697855750487,722,815.014084507042,0.08578431372549,0.539503386004515,0.079006772009029,0.281081433056382,0.000159551355168,0.469440832249675,70,-746,66.394,3.60599999999999,70.0411280846063,0.035474433700572,0.068518222268016,0.068518222268016,0.146443514644351,0.970588235294118,0.028877887788779,0.985074626865672,792,0.326732673267327,-0.707112970711297,0.492537313432836,-0.014925373134328,28.1424945589406,792,0.199237899278851,0.637111901064676,1,-0.014925373134328,0.66,1,0.079006772009029,0.492537313432836,0.079006772009029,0.079006772009029,1,0.158013544018059,1
