Techniques,Tarantula,OToThePowerP,BigO,OToThePowerD,Kulczynski1,Kulczynski2,Jaccard,Ochiai,Ample,Ample2,Wong1,Wong2,Wong3,Wong3Dash,GP13,CbiInc,CbiLog,CbiSqrt,SorensenDice,M1,M2,M3,Lee,RogersAndTanimoto,Goodman,SimpleMatching,Hamann,Euclid,Hamming,Rogot1,Rogot2,Binary,Gower1,Gower2,Gower3,AddedValue,Manhattan,Braun,Levandowsky,Simpson,Dice,MutantAt72
Line 12,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,1
Line 13,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 14,0.745821819632645,143.76193870278,-1,333.304347826087,0.363636363636364,0.500142178169558,0.266666666666667,0.458896698922447,0.002057682388033,0.460798027782779,144,-190,140.876,3.124,144.177339901478,0.173145777389205,0.292076219099523,0.28688072268891,0.421052631578947,3.06060606060606,0.07185628742515,1.50746268656716,1212,0.604790419161677,-0.157894736842105,0.753731343283582,0.507462686567164,34.8137903710584,1212,0.361528088996411,0.676796500317783,0,0.507462686567164,0.859574468085106,0.762659025787966,0.301255230125523,0.753731343283582,0.301255230125523,0.266666666666667,0.699029126213592,0.533333333333333,0
Line 15,0.549456384323641,61.7533856022808,-1,345.700483091787,0.126530612244898,0.226465829050067,0.11231884057971,0.213859229485589,0.001943203713435,0.054180574214368,62,-284,58.864,3.136,62.0822281167109,0.023851331577407,0.046277743692299,0.045715147663851,0.201954397394137,2.28163265306122,0.029551954242135,1.39054726368159,1118,0.532888465204957,-0.596091205211726,0.695273631840796,0.390547263681592,33.436506994601,1118,0.278901222287531,0.521535339632023,0,0.390547263681592,0.820249449743213,0.135720233139051,0.151960784313725,0.695273631840796,0.151960784313725,0.11231884057971,0.300970873786408,0.22463768115942,0
Line 16,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 17,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 18,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 19,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 20,0.745821819632645,143.76193870278,-1,333.304347826087,0.363636363636364,0.500142178169558,0.266666666666667,0.458896698922447,0.002057682388033,0.460798027782779,144,-190,140.876,3.124,144.177339901478,0.173145777389205,0.292076219099523,0.28688072268891,0.421052631578947,3.06060606060606,0.07185628742515,1.50746268656716,1212,0.604790419161677,-0.157894736842105,0.753731343283582,0.507462686567164,34.8137903710584,1212,0.361528088996411,0.676796500317783,0,0.507462686567164,0.859574468085106,0.762659025787966,0.301255230125523,0.753731343283582,0.301255230125523,0.266666666666667,0.699029126213592,0.533333333333333,0
Line 21,0.549456384323641,61.7533856022808,-1,345.700483091787,0.126530612244898,0.226465829050067,0.11231884057971,0.213859229485589,0.001943203713435,0.054180574214368,62,-284,58.864,3.136,62.0822281167109,0.023851331577407,0.046277743692299,0.045715147663851,0.201954397394137,2.28163265306122,0.029551954242135,1.39054726368159,1118,0.532888465204957,-0.596091205211726,0.695273631840796,0.390547263681592,33.436506994601,1118,0.278901222287531,0.521535339632023,0,0.390547263681592,0.820249449743213,0.135720233139051,0.151960784313725,0.695273631840796,0.151960784313725,0.11231884057971,0.300970873786408,0.22463768115942,0
Line 22,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 23,0.681037100006072,143.672843905916,-1,458.304347826087,0.276391554702495,0.468917548181423,0.216541353383459,0.408573529059363,0.00111820385041,0.371639682561666,144,-315,140.751,3.249,144.135593220339,0.110696517412935,0.197907026041481,0.195507889393873,0.355995055624227,2.08637236084453,0.06763738844528,1.35199004975124,1087,0.510568341944575,-0.288009888751545,0.675995024875622,0.351990049751244,32.9696830436691,1087,0.315289981335533,0.637188527605591,0,0.351990049751244,0.806679035250464,0.653479452054795,0.238805970149254,0.675995024875622,0.238805970149254,0.216541353383459,0.699029126213592,0.433082706766917,0
Line 24,0.681037100006072,143.672843905916,-1,458.304347826087,0.276391554702495,0.468917548181423,0.216541353383459,0.408573529059363,0.00111820385041,0.371639682561666,144,-315,140.751,3.249,144.135593220339,0.110696517412935,0.197907026041481,0.195507889393873,0.355995055624227,2.08637236084453,0.06763738844528,1.35199004975124,1087,0.510568341944575,-0.288009888751545,0.675995024875622,0.351990049751244,32.9696830436691,1087,0.315289981335533,0.637188527605591,0,0.351990049751244,0.806679035250464,0.653479452054795,0.238805970149254,0.675995024875622,0.238805970149254,0.216541353383459,0.699029126213592,0.433082706766917,0
Line 25,0.4474851994852,61.6286528866714,-1,520.700483091787,0.093233082706767,0.203658678745691,0.085281980742779,0.178905545260056,0.000784312016749,-0.07064110909519,62,-459,58.689,3.311,62.0561594202899,-0.021762969031344,-0.044784132682923,-0.045323911590724,0.157160963244613,1.41804511278195,0.027276726792785,1.1728855721393,943,0.414870215574131,-0.685678073510773,0.586442786069652,0.172885572139303,30.7083050655682,943,0.23467303583683,0.473804392432934,0,0.172885572139303,0.739317914543316,-0.157366983940885,0.106346483704974,0.586442786069652,0.106346483704974,0.085281980742779,0.300970873786408,0.170563961485557,0
